tier	id	title	md_source	md_source_id	summary_len	cover_real	n_authors	n_genres	n_synonyms	n_gallery	n_volumes	n_chapters	n_readable	average_score	title_in_synonyms
A_CORRECT	4825	Gangsta.	anilist	54903	591	t	1	6	5	53	13	56	0	78	t
A_CORRECT	490	Gantz	anilist	30564	284	t	1	13	5	406	47	390	32	77	t
A_CORRECT	2484	Gekitou!! Arawashi Koukou Golf Bu	anilist	178865	715	t	1	3	2	0	0	144	0		t
A_CORRECT	3738	Gendai Juukyouden	anilist	152903	894	t	1	3	2	0	0	150	0	63	t
A_CORRECT	2564	Getter Robo Go	anilist	40447	509	t	1	7	3	0	7	28	0	79	t
A_CORRECT	2600	Giant Robo The Day the Earth Stood Still	anilist	34538	212	t	2	10	4	7	9	53	0	65	f
A_CORRECT	2293	Gin to Kin	anilist	33569	137	t	1	4	4	0	11	108	0	75	t
A_CORRECT	4650	Gintama	anilist	30044	590	t	1	6	8	24	78	721	0	86	t
D_NO_METADATA	1777	Gintama Gaiden			0	f	1	3	1	3	72	79	0	69	f
A_CORRECT	2110	Given	anilist	87347	451	t	1	7	5	32	10	66	0	84	t
A_CORRECT	4441	Go! Go! Loser Ranger!	anilist	127564	542	t	1	5	6	228	22	212	0	73	t
A_CORRECT	4815	Golden Kamuy	anilist	86559	848	t	1	8	6	368	32	321	0	86	t
A_CORRECT	2310	Goodbye My Idol	anilist	203783	361	t	1	7	4	1	42	25	0		t
A_CORRECT	491	Goodnight Punpun	anilist	34632	282	t	1	9	17	20	13	147	127	88	t
A_CORRECT	2079	Gosick	anilist	31313	985	t	1	6	3	0	10	28	0	76	t
C_NO_SUMMARY	2002	Goth na Joshi to Loli Danshi	anilist	181116	0	t	1	4	3	5	5	110	0	61	t
A_CORRECT	1485	Grand Blue Dreaming	anilist	87395	392	t	1	9	6	135	27	118	0	88	t
A_CORRECT	2149	Gushing over Magical Girls	anilist	109017	425	t	1	9	8	0	12	95	0	77	t
A_CORRECT	3713	Haiboku Otome Ecstasy SP	anilist	175252	10838	t	23	7	23	7	7	146	0	61	t
A_CORRECT	4819	Haikyu!!	anilist	65243	518	t	1	6	8	201	46	419	0	89	t
A_CORRECT	2107	Hajimete Mama ni Naru Anatahe: 8% no Kiseki	anilist	209582	577	t	7	3	2	0	0	6	0		t
A_CORRECT	2334	Hakanai Kimi wa Moukou wo Hajimeru	anilist	132332	120	t	1	4	3	4	103	36	0	76	t
A_CORRECT	3709	Hakuryuu Legend	anilist	75561	550	t	1	3	3	10	10	414	0	64	t
A_CORRECT	2119	Hana & Hina After School	anilist	86382	618	t	1	7	4	5	3	19	0	74	t
A_CORRECT	2624	Hand in Hand	anilist	96723	1001	t	1	2	4	0	3	6	0	68	t
A_CORRECT	4359	Harukawa-san wa Kyou mo Uete Iru	anilist	112016	218	t	1	4	4	2	3	34	0	65	t
A_CORRECT	2383	Hatsu*Haru	anilist	85353	485	t	1	6	3	13	13	54	0	73	t
A_CORRECT	3743	Hatsukoi Losstime	anilist	111601	600	t	2	7	6	2	2	9	0	75	t
A_MATCHED_SPARSE	1877	Hatsunagi Himerium	anilist	210062	207	t	1	6	2	0	0	0	0	66	t
A_CORRECT	2412	Haunted Peak	anilist	209863	360	t	1	3	3	0	3	27	0	56	t
A_CORRECT	2499	He Craves to be Teased by His Favorite ASMR Streamer	anilist	157480	828	t	1	3	5	3	3	27	0	66	t
A_CORRECT	1711	Heart Hybrid Gear	anilist	95197	674	t	1	6	2	7	7	53	0	60	f
A_CORRECT	2327	Hello Harinezumi	anilist	38846	480	t	1	3	4	20	20	237	0	72	t
A_CORRECT	2509	Hello, Melancholic!	anilist	109661	628	t	1	7	4	18	10	91	0	75	t
A_CORRECT	2630	Heroic Age	anilist	53222	833	t	1	7	3	0	1	15	0		t
A_CORRECT	2218	Hetalia World Cooking	anilist	87123	151	t	1	1	0	2	1	9	0	68	f
C_NO_SUMMARY	1715	Hi no Kuni, Kaze no Kuni Monogatari	anilist	88569	0	t	1	7	2	1	15	137	0		t
A_CORRECT	2143	Hibari no Asa	anilist	76814	504	t	1	6	4	0	2	14	0	78	t
A_CORRECT	2572	Hidamari Sketch	anilist	31362	566	t	1	5	4	0	11	90	0	79	t
A_CORRECT	2179	Hidamari Sketch x365	anilist	31362	566	t	1	2	1	2	2	22	0	79	f
A_CORRECT	2486	High Teen Boogie	anilist	121620	492	t	1	3	2	0	26	212	0	57	t
A_CORRECT	2358	Higurashi no Naku Koro ni Kai - Dai 4-wa: Matsuribayashi-hen	anilist	92546	419	t	1	7	3	0	4	7	0	70	t
A_CORRECT	2380	Hikari no Sora	anilist	174781	260	t	1	3	2	0	1	294	0		f
A_CORRECT	1979	Himawari-san	anilist	53239	217	t	1	5	2	0	13	109	0	73	t
C_GENERIC	2403	Hiru to Yoru to Kimi ni Au	anilist	209934	40	t	1	3	2	82	30	37	0		t
A_CORRECT	2369	Hito Hitori Futari	anilist	67915	984	t	1	5	4	0	8	84	0	72	t
A_CORRECT	1881	Hoankan Evans no Uso: Dead or Love	anilist	99365	156	t	1	5	5	8	20	241	0	73	t
C_GENERIC	4357	Hon wo Okuru	anilist	162237	62	t	1	3	4	1	1	1	0	65	t
A_CORRECT	2371	Honey Lemon Soda	anilist	96767	441	t	1	5	4	30	31	124	0	76	t
C_NO_SUMMARY	2317	Horeppo Shinme no Shitsukekata	anilist	209936	0	t	1	4	2	6	11	5	0		t
A_CORRECT	2443	Horimiya	anilist	72451	688	t	1	5	7	136	18	156	0	82	t
A_CORRECT	1778	Hotarubi no Mori e	anilist	33282	1871	t	1	8	5	0	1	4	0	74	t
A_CORRECT	2174	Hourou Musuko	anilist	30585	320	t	1	7	4	0	15	191	0	79	t
A_CORRECT	4435	House of the Sun	anilist	56736	478	t	1	6	12	84	14	71	0	79	t
A_CORRECT	4054	Houshin Shinai Engi	anilist	96730	232	t	1	5	5	23	23	53	0	66	t
A_CORRECT	492	Hunter x Hunter	anilist	30026	595	t	1	12	7	480	40	416	405	88	t
